Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
Jan 25,Thursday,27.05,Doordash,Food,Debit,Want
Jan 25,Thursday,3.00,Sweet Tea,Food,Debit,Want
Jan 25,Thursday,17.38,Thai ,Food,Debit,Need
Jan 25,Thursday,25.71,Matcha Dessert (2),Food,Debit,Want
Jan 26,Friday,200.00,Savings,Financial goals and Savings,Debit,Savings
Jan 27,Saturday,32.55,Doordash,Food,Debit,Want
Jan 28,Sunday,11.95,Uber,Travel,Debit,Need
Jan 28,Sunday,40.00,Birthday Brunch,Food,Debit,Want
Jan 29,Monday,524.15,Work Paycheck,Financial goals and Savings,Debit,Savings
Jan 30,Tuesday, 21.43,Poke bowl,Food,Debit,Want
Jan 30,Tuesday,7.70,Boba,Food,Debit,Want
Jan 30,Tuesday,24.93,Uber,Travel,Debit,Need
Jan 31,Wednesday,16.47,Skyline Lab kit,Entertainment and Recreation,Debit,Need
Jan 31,Wednesday,27.20,Breakfast,Food,Debit,Need
Feb 2,Friday,8.00,lunch,Food,Debit,Need
Feb 3,Saturday,258.12,Work Paycheck,Financial goals and Savings,Debit,Savings
Feb 3,Saturday,41.65,depop earnings,Financial goals and Savings,Debit,Savings
Feb 3,Saturday,21.95,Lunch,Food,Debit,Want
Feb 4,Sunday,36.14,clothes,Entertainment and Recreation,Debit,Want